Search Description,Time,GitHub_Filename,Pubmed Search
bone microCT,Till Oct 13th 2024 and then Oct 14 2024 - July 31th 2025,1,(((bone microCT and machine learning) OR (bone microCT and deep learning)) OR (bone microCT and principal component analysis)) OR (bone microCT and clustering)
bone micro-CT,Till Oct 13th 2024,2,(((bone micro-CT and machine learning) OR (bone micro-CT and deep learning)) OR (bone micro-CT and principal component analysis)) OR (bone micro-CT and clustering)
bone micro-computed tomography,Till Oct 13th 2024,3,(((bone micro-computed tomography and machine learning) OR (bone micro-computed tomography and deep learning)) OR (bone micro-computed tomography and principal component analysis)) OR (bone micro-computed tomography and clustering)
bone HRpQCT,Till Oct 13th 2024,4,(((bone HRpQCT and machine learning) OR (bone HRpQCT and deep learning)) OR (bone HRpQCT and principal component analysis)) OR (bone HRpQCT and clustering)
bone HR-pQCT ,Till Oct 13th 2024,5,(((bone HR-pQCT and machine learning) OR (bone HR-pQCT and deep learning)) OR (bone HR-pQCT and principal component analysis)) OR (bone HR-pQCT and clustering)
bone high resolution peripheral quantitative tomography,Till Oct 13th 2024,6,(((bone high resolution peripheral quantitative tomography and machine learning) OR (bone high resolution peripheral quantitative tomography and deep learning)) OR (bone high resolution peripheral quantitative tomography and principal component analysis)) OR (bone high resolution peripheral quantitative tomography and clustering)
bone microCT,Oct 14 2024 - July 31th 2025,7,(((bone microCT and machine learning) OR (bone microCT and deep learning)) OR (bone microCT and principal component analysis)) OR (bone microCT and clustering)
bone micro-CT,Oct 14 2024 - July 31th 2025,8,(((bone micro-CT and machine learning) OR (bone micro-CT and deep learning)) OR (bone micro-CT and principal component analysis)) OR (bone micro-CT and clustering)
bone micro-computed tomography,Oct 14 2024 - July 31th 2025,9,(((bone micro-computed tomography and machine learning) OR (bone micro-computed tomography and deep learning)) OR (bone micro-computed tomography and principal component analysis)) OR (bone micro-computed tomography and clustering)
bone HRpQCT,Oct 14 2024 - July 31th 2025,10,(((bone HRpQCT and machine learning) OR (bone HRpQCT and deep learning)) OR (bone HRpQCT and principal component analysis)) OR (bone HRpQCT and clustering)
bone HR-pQCT ,Oct 14 2024 - July 31th 2025,11,(((bone HR-pQCT and machine learning) OR (bone HR-pQCT and deep learning)) OR (bone HR-pQCT and principal component analysis)) OR (bone HR-pQCT and clustering)
bone high resolution peripheral quantitative tomography,Oct 14 2024 - July 31th 2025,12,(((bone high resolution peripheral quantitative tomography and machine learning) OR (bone high resolution peripheral quantitative tomography and deep learning)) OR (bone high resolution peripheral quantitative tomography and principal component analysis)) OR (bone high resolution peripheral quantitative tomography and clustering)
"bone microCT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,13,(((bone microCT and machine learning) OR (bone microCT and deep learning)) OR (bone microCT and principal component analysis)) OR (bone microCT and canonical correlation analysis)
"bone micro-CT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,14,(((bone micro-CT and machine learning) OR (bone micro-CT and deep learning)) OR (bone micro-CT and principal component analysis)) OR (bone micro-CT and canonical correlation analysis)
"bone micro-computed tomography - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,15,(((bone micro-computed tomography and machine learning) OR (bone micro-computed tomography and deep learning)) OR (bone micro-computed tomography and principal component analysis)) OR (bone micro-computed tomography and canonical correlation analysis)
"bone HRpQCT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,16,(((bone HRpQCT and machine learning) OR (bone HRpQCT and deep learning)) OR (bone HRpQCT and principal component analysis)) OR (bone HRpQCT and canonical correlation analysis)
"bone HR-pQCT  - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,17,(((bone HR-pQCT and machine learning) OR (bone HR-pQCT and deep learning)) OR (bone HR-pQCT and principal component analysis)) OR (bone HR-pQCT and canonical correlation analysis)
"bone high resolution peripheral quantitative tomography - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,18,(((bone high resolution peripheral quantitative tomography and machine learning) OR (bone high resolution peripheral quantitative tomography and deep learning)) OR (bone high resolution peripheral quantitative tomography and principal component analysis)) OR (bone high resolution peripheral quantitative tomography and canonical correlation analysis)
bone microCT and bone HRpQCT spellings - additional term of U-Net,All Time,19,(((bone microCT and U-Net) OR (bone HRpQCT and U-Net)) OR ((bone micro-CT and U-Net) OR (bone HR-pQCT and U-Net))) OR ((bone micro computed tomography and U-Net) OR (bone high resolution peripheral quantitative computed tomography and U-Net))
bone micro-CT and bone HR-pQCT- additional terms of convolutional neural network,All Time,20,((((bone microCT and convolutional neural network) OR (bone HRpQCT and convolutional neural network)) OR ((bone micro-CT and convolutional neural network) OR (bone HR-pQCT and convolutional neural network))) OR ((bone micro computed tomography and convolutional neural network) OR (bone high-resolution peripheral quantitative computed tomography and convolutional neural network)))
bone microCT and bone HRpQCT spellings - additional term of convolutional neural network,All Time,21,((((bone μCT and convolutional neural network) OR (bone HRpQCT and convolutional neural network)) OR ((bone μ-CT and convolutional neural network) OR (bone HR-pQCT and convolutional neural network))) OR ((bone micro computed tomography and convolutional neural network) OR (bone high-resolution peripheral quantitative computed tomography and convolutional neural network)))
bone microCT and bone HRpQCT spellings - additional term of U-Net,All Time,22,((((bone μCT and U-Net) OR (bone HRpQCT and U-Net)) OR ((bone μ-CT and U-Net) OR (bone HR-pQCT and U-Net))) OR ((bone micro computed tomography and U-Net) OR (bone high-resolution peripheral quantitative computed tomography and U-Net)))
"bone μCT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,23,(((bone μCT and machine learning) OR (bone μCT and deep learning)) OR (bone μCT and principal component analysis)) OR (bone μCT and canonical correlation analysis)
"bone μ-CT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,24,(((bone μ-CT and machine learning) OR (bone μ-CT and deep learning)) OR (bone μ-CT and principal component analysis)) OR (bone μ-CT and canonical correlation analysis)
"bone mu-CT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,25,(((bone mu-CT and machine learning) OR (bone mu-CT and deep learning)) OR (bone mu-CT and principal component analysis)) OR (bone mu-CT and canonical correlation analysis)
bone muCT - additional terms of machine learning and deep learning,All Time,26,(((bone muCT and machine learning) OR (bone muCT and deep learning)) OR (bone muCT and principal component analysis)) OR (bone muCT and canonical correlation analysis)
"bone μCT, μ-CT, muCT and mu-CT - additional term of U-Net",All Time,27,((((bone μCT and U-Net) OR (bone μ-CT and U-Net))) OR (bone muCT and U-Net)) OR (bone mu-CT and U-Net)) OR ((bone μCT and U-Net) OR (bone μ-CT and U-Net))) OR (bone muCT and U-Net)) OR (bone mu-CT and U-Net))
"bone μCT, μ-CT, muCT and mu-CT - additional term of convolutional neural network",All Time,28,((((bone μCT and convolutional neural network) OR (bone μ-CT and convolutional neural network))) OR (bone muCT and convolutional neural network)) OR (bone mu-CT and convolutional neural network)) OR ((bone μCT and convolutional neural network) OR (bone μ-CT and convolutional neural network))) OR (bone muCT and convolutional neural network)) OR (bone mu-CT and convolutional neural network))